fname,itp,tp_prob,its,ts_prob
SC_AXI_2018_01_03.mseed_78000,[],[],[],[]
SC_AXI_2018_01_04.mseed_78000,[],[],[2608],[0.561048]
SC_AXI_2018_01_01.mseed_78000,[],[],[],[]
SC_AXI_2018_01_02.mseed_78000,[],[],[],[]
SC_AXI_2018_01_03.mseed_81000,[],[],[],[]
SC_AXI_2018_01_04.mseed_81000,[],[],[],[]
SC_AXI_2018_01_01.mseed_81000,[],[],[],[]
SC_AXI_2018_01_02.mseed_81000,[],[],[],[]
SC_AXI_2018_01_03.mseed_84000,[],[],[],[]
SC_AXI_2018_01_04.mseed_84000,[],[],[],[]
SC_AXI_2018_01_02.mseed_84000,[],[],[],[]
SC_AXI_2018_01_01.mseed_84000,[],[],[],[]
SC_AXI_2018_01_03.mseed_87000,[],[],[],[]
SC_AXI_2018_01_04.mseed_87000,[],[],[],[]
SC_AXI_2018_01_02.mseed_87000,[],[],[],[]
SC_AXI_2018_01_01.mseed_87000,[],[],[],[]
SC_AXI_2018_01_03.mseed_90000,[],[],[],[]
SC_AXI_2018_01_04.mseed_90000,[],[],[],[]
SC_AXI_2018_01_02.mseed_90000,[],[],[],[]
SC_AXI_2018_01_01.mseed_90000,[],[],[],[]
SC_AXI_2018_01_03.mseed_93000,[],[],[],[]
SC_AXI_2018_01_04.mseed_93000,[],[],[],[]
SC_AXI_2018_01_02.mseed_93000,[],[],[],[]
SC_AXI_2018_01_01.mseed_93000,[],[],[],[]
SC_AXI_2018_01_03.mseed_96000,[],[],[],[]
SC_AXI_2018_01_02.mseed_96000,[],[],[],[]
SC_AXI_2018_01_04.mseed_96000,[],[],[],[]
SC_AXI_2018_01_01.mseed_96000,[],[],[],[]
SC_AXI_2018_01_03.mseed_99000,[],[],[],[]
SC_AXI_2018_01_04.mseed_99000,[],[],[1140],[0.602272]
SC_AXI_2018_01_02.mseed_99000,[],[],[],[]
SC_AXI_2018_01_01.mseed_99000,[],[],[],[]
SC_AXI_2018_01_04.mseed_102000,[],[],[],[]
SC_AXI_2018_01_03.mseed_102000,[],[],[],[]
SC_AXI_2018_01_02.mseed_102000,[],[],[],[]
SC_AXI_2018_01_01.mseed_102000,[],[],[],[]
SC_AXI_2018_01_04.mseed_105000,[],[],[],[]
SC_AXI_2018_01_03.mseed_105000,[],[],[],[]
SC_AXI_2018_01_02.mseed_105000,[],[],[],[]
SC_AXI_2018_01_01.mseed_105000,[],[],[],[]
SC_AXI_2018_01_04.mseed_108000,[],[],[],[]
SC_AXI_2018_01_03.mseed_108000,[],[],[],[]
SC_AXI_2018_01_02.mseed_108000,[],[],[],[]
SC_AXI_2018_01_01.mseed_108000,[],[],[],[]
SC_AXI_2018_01_03.mseed_111000,[],[],[],[]
SC_AXI_2018_01_04.mseed_111000,[],[],[],[]
SC_AXI_2018_01_02.mseed_111000,[],[],[],[]
SC_AXI_2018_01_01.mseed_111000,[],[],[],[]
SC_AXI_2018_01_04.mseed_114000,[],[],[],[]
SC_AXI_2018_01_03.mseed_114000,[],[],[],[]
SC_AXI_2018_01_02.mseed_114000,[],[],[],[]
SC_AXI_2018_01_01.mseed_114000,[],[],[],[]
SC_AXI_2018_01_04.mseed_117000,[],[],[],[]
SC_AXI_2018_01_03.mseed_117000,[],[],[],[]
SC_AXI_2018_01_02.mseed_117000,[],[],[],[]
SC_AXI_2018_01_01.mseed_117000,[],[],[],[]
SC_AXI_2018_01_04.mseed_120000,[],[],[531],[0.325168]
SC_AXI_2018_01_03.mseed_120000,[],[],[],[]
SC_AXI_2018_01_02.mseed_120000,[],[],[],[]
SC_AXI_2018_01_01.mseed_120000,[],[],[],[]
SC_AXI_2018_01_04.mseed_123000,[],[],[],[]
SC_AXI_2018_01_03.mseed_123000,[],[],[],[]
SC_AXI_2018_01_02.mseed_123000,[],[],[],[]
SC_AXI_2018_01_01.mseed_123000,[],[],[],[]
SC_AXI_2018_01_04.mseed_126000,[],[],[],[]
SC_AXI_2018_01_03.mseed_126000,[],[],[],[]
SC_AXI_2018_01_01.mseed_126000,[],[],[],[]
SC_AXI_2018_01_02.mseed_126000,[],[],[],[]
SC_AXI_2018_01_04.mseed_129000,[],[],[],[]
SC_AXI_2018_01_03.mseed_129000,[],[],[],[]
SC_AXI_2018_01_01.mseed_129000,[],[],[],[]
SC_AXI_2018_01_02.mseed_129000,[],[],[],[]
SC_AXI_2018_01_04.mseed_132000,[],[],[],[]
SC_AXI_2018_01_03.mseed_132000,[],[],[],[]
SC_AXI_2018_01_01.mseed_132000,[],[],[],[]
SC_AXI_2018_01_02.mseed_132000,[],[],[],[]
SC_AXI_2018_01_04.mseed_135000,[],[],[],[]
SC_AXI_2018_01_03.mseed_135000,[],[],[],[]
SC_AXI_2018_01_01.mseed_135000,[],[],[],[]
SC_AXI_2018_01_02.mseed_135000,[],[],[],[]
SC_AXI_2018_01_04.mseed_138000,[],[],[],[]
SC_AXI_2018_01_03.mseed_138000,[],[],[],[]
SC_AXI_2018_01_01.mseed_138000,[],[],[],[]
SC_AXI_2018_01_02.mseed_138000,[],[],[],[]
SC_AXI_2018_01_04.mseed_141000,[],[],[311],[0.341794]
SC_AXI_2018_01_03.mseed_141000,[],[],[],[]
SC_AXI_2018_01_01.mseed_141000,[],[],[],[]
SC_AXI_2018_01_02.mseed_141000,[],[],[],[]
SC_AXI_2018_01_04.mseed_144000,[],[],[],[]
SC_AXI_2018_01_01.mseed_144000,[],[],[],[]
SC_AXI_2018_01_03.mseed_144000,[],[],[],[]
SC_AXI_2018_01_04.mseed_147000,[],[],[],[]
SC_AXI_2018_01_02.mseed_144000,[],[],[],[]
SC_AXI_2018_01_01.mseed_147000,[],[],[],[]
SC_AXI_2018_01_03.mseed_147000,[],[],[],[]
SC_AXI_2018_01_02.mseed_147000,[],[],[],[]
SC_AXI_2018_01_04.mseed_150000,[],[],[],[]
SC_AXI_2018_01_03.mseed_150000,[],[],[],[]
SC_AXI_2018_01_01.mseed_150000,[],[],[],[]
SC_AXI_2018_01_02.mseed_150000,[],[],[],[]
SC_AXI_2018_01_04.mseed_153000,[],[],[],[]
SC_AXI_2018_01_02.mseed_153000,[],[],[],[]
SC_AXI_2018_01_01.mseed_153000,[],[],[],[]
SC_AXI_2018_01_02.mseed_156000,[],[],[],[]
SC_AXI_2018_01_03.mseed_153000,[],[],[],[]
SC_AXI_2018_01_01.mseed_156000,[],[],[],[]
SC_AXI_2018_01_02.mseed_159000,[],[],[],[]
SC_AXI_2018_01_04.mseed_156000,[],[],[187],[0.349818]
SC_AXI_2018_01_01.mseed_159000,[],[],[],[]
SC_AXI_2018_01_03.mseed_156000,[],[],[977],[0.402249]
SC_AXI_2018_01_02.mseed_162000,[],[],[],[]
SC_AXI_2018_01_02.mseed_165000,[],[],[],[]
SC_AXI_2018_01_01.mseed_162000,[],[],[],[]
SC_AXI_2018_01_04.mseed_159000,[],[],[],[]
SC_AXI_2018_01_03.mseed_159000,[],[],[],[]
SC_AXI_2018_01_02.mseed_168000,[],[],[],[]
SC_AXI_2018_01_01.mseed_165000,[],[],[],[]
SC_AXI_2018_01_02.mseed_171000,[],[],[],[]
SC_AXI_2018_01_03.mseed_162000,[],[],[],[]
SC_AXI_2018_01_04.mseed_162000,[],[],[],[]
SC_AXI_2018_01_03.mseed_165000,[],[],[],[]
SC_AXI_2018_01_04.mseed_165000,[],[],[],[]
SC_AXI_2018_01_02.mseed_174000,[],[],[],[]
SC_AXI_2018_01_01.mseed_168000,[],[],[],[]
SC_AXI_2018_01_01.mseed_171000,[],[],[],[]
SC_AXI_2018_01_03.mseed_168000,[],[],[],[]
SC_AXI_2018_01_04.mseed_168000,[],[],[],[]
SC_AXI_2018_01_01.mseed_174000,[],[],[],[]
SC_AXI_2018_01_03.mseed_171000,[],[],[],[]
SC_AXI_2018_01_04.mseed_171000,[],[],[],[]
SC_AXI_2018_01_02.mseed_177000,[],[],[],[]
SC_AXI_2018_01_03.mseed_174000,[],[],[],[]
SC_AXI_2018_01_02.mseed_180000,[],[],[],[]
SC_AXI_2018_01_04.mseed_174000,[],[],[],[]
SC_AXI_2018_01_01.mseed_177000,[],[],[],[]
SC_AXI_2018_01_02.mseed_183000,[],[],[],[]
SC_AXI_2018_01_04.mseed_177000,[],[],[],[]
SC_AXI_2018_01_02.mseed_186000,[],[],[],[]
SC_AXI_2018_01_03.mseed_177000,[],[],[],[]
SC_AXI_2018_01_01.mseed_180000,[],[],[],[]
SC_AXI_2018_01_01.mseed_183000,[],[],[],[]
SC_AXI_2018_01_03.mseed_180000,[],[],[],[]
SC_AXI_2018_01_02.mseed_189000,[],[],[],[]
SC_AXI_2018_01_03.mseed_183000,[],[],[],[]
SC_AXI_2018_01_02.mseed_192000,[],[],[],[]
SC_AXI_2018_01_01.mseed_186000,[],[],[],[]
SC_AXI_2018_01_03.mseed_186000,[],[],[],[]
SC_AXI_2018_01_02.mseed_195000,[],[],[],[]
SC_AXI_2018_01_04.mseed_180000,[],[],[],[]
SC_AXI_2018_01_01.mseed_189000,[],[],[],[]
SC_AXI_2018_01_04.mseed_183000,[],[],[],[]
SC_AXI_2018_01_01.mseed_192000,[],[],[],[]
SC_AXI_2018_01_04.mseed_186000,[],[],[],[]
SC_AXI_2018_01_03.mseed_189000,[],[],[],[]
SC_AXI_2018_01_04.mseed_189000,[],[],[],[]
SC_AXI_2018_01_02.mseed_198000,[],[],[],[]
SC_AXI_2018_01_01.mseed_195000,[],[],[],[]
SC_AXI_2018_01_04.mseed_192000,[],[],[],[]
SC_AXI_2018_01_02.mseed_201000,[],[],[],[]
SC_AXI_2018_01_03.mseed_192000,[],[],[],[]
SC_AXI_2018_01_02.mseed_204000,[],[],[],[]
SC_AXI_2018_01_03.mseed_195000,[],[],[],[]
SC_AXI_2018_01_01.mseed_198000,[],[],[],[]
SC_AXI_2018_01_02.mseed_207000,[],[],[],[]
SC_AXI_2018_01_01.mseed_201000,[],[],[],[]
SC_AXI_2018_01_03.mseed_198000,[],[],[],[]
SC_AXI_2018_01_04.mseed_195000,[],[],[],[]
SC_AXI_2018_01_02.mseed_210000,[],[],[],[]
SC_AXI_2018_01_03.mseed_201000,[],[],[],[]
SC_AXI_2018_01_01.mseed_204000,[],[],[],[]
SC_AXI_2018_01_02.mseed_213000,[],[],[],[]
SC_AXI_2018_01_04.mseed_198000,[],[],[],[]
SC_AXI_2018_01_03.mseed_204000,[],[],[],[]
SC_AXI_2018_01_01.mseed_207000,[],[],[],[]
SC_AXI_2018_01_02.mseed_216000,[],[],[],[]
SC_AXI_2018_01_03.mseed_207000,[],[],[],[]
SC_AXI_2018_01_01.mseed_210000,[],[],[],[]
SC_AXI_2018_01_02.mseed_219000,[],[],[],[]
SC_AXI_2018_01_04.mseed_201000,[],[],[],[]
SC_AXI_2018_01_03.mseed_210000,[],[],[],[]
SC_AXI_2018_01_03.mseed_213000,[],[],[],[]
SC_AXI_2018_01_04.mseed_204000,[],[],[],[]
SC_AXI_2018_01_01.mseed_213000,[],[],[],[]
SC_AXI_2018_01_04.mseed_207000,[],[],[],[]
SC_AXI_2018_01_01.mseed_216000,[],[],[],[]
SC_AXI_2018_01_03.mseed_216000,[],[],[],[]
SC_AXI_2018_01_01.mseed_219000,[],[],[],[]
SC_AXI_2018_01_04.mseed_210000,[],[],[],[]
SC_AXI_2018_01_03.mseed_219000,[],[],[],[]
SC_AXI_2018_01_01.mseed_222000,[],[],[],[]
SC_AXI_2018_01_04.mseed_213000,[],[],[],[]
SC_AXI_2018_01_03.mseed_222000,[],[],[],[]
SC_AXI_2018_01_02.mseed_222000,[],[],[],[]
SC_AXI_2018_01_01.mseed_225000,[],[],[],[]
SC_AXI_2018_01_04.mseed_216000,[],[],[],[]
SC_AXI_2018_01_02.mseed_225000,[],[],[59],[0.359493]
SC_AXI_2018_01_03.mseed_225000,[],[],[],[]
SC_AXI_2018_01_02.mseed_228000,[],[],[],[]
SC_AXI_2018_01_04.mseed_219000,[],[],[],[]
SC_AXI_2018_01_01.mseed_228000,[],[],[],[]
SC_AXI_2018_01_03.mseed_228000,[],[],[],[]
SC_AXI_2018_01_01.mseed_231000,[],[],[],[]
SC_AXI_2018_01_02.mseed_231000,[],[],[],[]
SC_AXI_2018_01_04.mseed_222000,[],[],[],[]
SC_AXI_2018_01_01.mseed_234000,[],[],[],[]
SC_AXI_2018_01_03.mseed_231000,[],[],[],[]
SC_AXI_2018_01_03.mseed_234000,[],[],[],[]
SC_AXI_2018_01_04.mseed_225000,[],[],[],[]
SC_AXI_2018_01_03.mseed_237000,[],[],[],[]
SC_AXI_2018_01_02.mseed_234000,[],[],[],[]
SC_AXI_2018_01_01.mseed_237000,[],[],[],[]
SC_AXI_2018_01_04.mseed_228000,[],[],[],[]
SC_AXI_2018_01_03.mseed_240000,[],[],[],[]
SC_AXI_2018_01_02.mseed_237000,[],[],[],[]
SC_AXI_2018_01_01.mseed_240000,[],[],[],[]
SC_AXI_2018_01_02.mseed_240000,[2806],[0.807519],[],[]
SC_AXI_2018_01_02.mseed_243000,[],[],[],[]
SC_AXI_2018_01_04.mseed_231000,[],[],[],[]
SC_AXI_2018_01_01.mseed_243000,[],[],[],[]
SC_AXI_2018_01_03.mseed_243000,[],[],[],[]
SC_AXI_2018_01_03.mseed_246000,[],[],[],[]
SC_AXI_2018_01_01.mseed_246000,[],[],[],[]
SC_AXI_2018_01_02.mseed_246000,[],[],[],[]
SC_AXI_2018_01_04.mseed_234000,[],[],[],[]
SC_AXI_2018_01_01.mseed_249000,[],[],[],[]
SC_AXI_2018_01_03.mseed_249000,[],[],[],[]
SC_AXI_2018_01_04.mseed_237000,[],[],[],[]
SC_AXI_2018_01_01.mseed_252000,[],[],[],[]
SC_AXI_2018_01_02.mseed_249000,[],[],[],[]
SC_AXI_2018_01_04.mseed_240000,[],[],[],[]
SC_AXI_2018_01_01.mseed_255000,[],[],[],[]
SC_AXI_2018_01_02.mseed_252000,[],[],[],[]
SC_AXI_2018_01_03.mseed_252000,[],[],[],[]
SC_AXI_2018_01_04.mseed_243000,[],[],[],[]
SC_AXI_2018_01_02.mseed_255000,[],[],[],[]
SC_AXI_2018_01_03.mseed_255000,[],[],[],[]
SC_AXI_2018_01_01.mseed_258000,[],[],[],[]
SC_AXI_2018_01_04.mseed_246000,[],[],[],[]
SC_AXI_2018_01_02.mseed_258000,[],[],[],[]
SC_AXI_2018_01_03.mseed_258000,[],[],[],[]
SC_AXI_2018_01_03.mseed_261000,[],[],[],[]
SC_AXI_2018_01_01.mseed_261000,[],[],[],[]
SC_AXI_2018_01_02.mseed_261000,[],[],[],[]
SC_AXI_2018_01_04.mseed_249000,[],[],[],[]
SC_AXI_2018_01_01.mseed_264000,[],[],[],[]
SC_AXI_2018_01_02.mseed_264000,[],[],[],[]
SC_AXI_2018_01_01.mseed_267000,[],[],[],[]
SC_AXI_2018_01_03.mseed_264000,[],[],[],[]
SC_AXI_2018_01_04.mseed_252000,[],[],[],[]
SC_AXI_2018_01_02.mseed_267000,[],[],[],[]
SC_AXI_2018_01_03.mseed_267000,[],[],[],[]
SC_AXI_2018_01_04.mseed_255000,[],[],[1979],[0.331991]
SC_AXI_2018_01_01.mseed_270000,[],[],[],[]
SC_AXI_2018_01_03.mseed_270000,[],[],[],[]
SC_AXI_2018_01_04.mseed_258000,[],[],[],[]
SC_AXI_2018_01_03.mseed_273000,[],[],[],[]
SC_AXI_2018_01_01.mseed_273000,[],[],[],[]
SC_AXI_2018_01_02.mseed_270000,[],[],[],[]
SC_AXI_2018_01_04.mseed_261000,[],[],[],[]
SC_AXI_2018_01_03.mseed_276000,[],[],[2007],[0.452992]
SC_AXI_2018_01_01.mseed_276000,[],[],[],[]
SC_AXI_2018_01_03.mseed_279000,[],[],[],[]
SC_AXI_2018_01_04.mseed_264000,[],[],[],[]
SC_AXI_2018_01_02.mseed_273000,[],[],[],[]
SC_AXI_2018_01_02.mseed_276000,[],[],[],[]
SC_AXI_2018_01_04.mseed_267000,[],[],[],[]
SC_AXI_2018_01_03.mseed_282000,[],[],[],[]
SC_AXI_2018_01_01.mseed_279000,[],[],[],[]
SC_AXI_2018_01_02.mseed_279000,[],[],[],[]
SC_AXI_2018_01_03.mseed_285000,[],[],[],[]
SC_AXI_2018_01_04.mseed_270000,[],[],[],[]
SC_AXI_2018_01_01.mseed_282000,[],[],[],[]
SC_AXI_2018_01_02.mseed_282000,[],[],[],[]
SC_AXI_2018_01_04.mseed_273000,[],[],[],[]
SC_AXI_2018_01_03.mseed_288000,[],[],[],[]
SC_AXI_2018_01_02.mseed_285000,[],[],[1107],[0.331675]
SC_AXI_2018_01_03.mseed_291000,[],[],[],[]
SC_AXI_2018_01_04.mseed_276000,[],[],[],[]
SC_AXI_2018_01_01.mseed_285000,[],[],[],[]
SC_AXI_2018_01_02.mseed_288000,[],[],[],[]
SC_AXI_2018_01_01.mseed_288000,[],[],[],[]
SC_AXI_2018_01_02.mseed_291000,[],[],[],[]
SC_AXI_2018_01_03.mseed_294000,[],[],[],[]
SC_AXI_2018_01_04.mseed_279000,[],[],[],[]
SC_AXI_2018_01_04.mseed_282000,[],[],[],[]
SC_AXI_2018_01_03.mseed_297000,[],[],[],[]
SC_AXI_2018_01_02.mseed_294000,[],[],[],[]
SC_AXI_2018_01_01.mseed_291000,[],[],[],[]
SC_AXI_2018_01_02.mseed_297000,[],[],[],[]
SC_AXI_2018_01_04.mseed_285000,[],[],[],[]
SC_AXI_2018_01_01.mseed_294000,[],[],[],[]
SC_AXI_2018_01_03.mseed_300000,[],[],[],[]
SC_AXI_2018_01_02.mseed_300000,[],[],[],[]
SC_AXI_2018_01_04.mseed_288000,[],[],[],[]
SC_AXI_2018_01_03.mseed_303000,[],[],[],[]
SC_AXI_2018_01_01.mseed_297000,[],[],[],[]
SC_AXI_2018_01_03.mseed_306000,[],[],[],[]
SC_AXI_2018_01_02.mseed_303000,[],[],[],[]
SC_AXI_2018_01_04.mseed_291000,[],[],[],[]
SC_AXI_2018_01_01.mseed_300000,[],[],[],[]
SC_AXI_2018_01_03.mseed_309000,[],[],[],[]
SC_AXI_2018_01_01.mseed_303000,[],[],[],[]
SC_AXI_2018_01_02.mseed_306000,[],[],[],[]
SC_AXI_2018_01_04.mseed_294000,[],[],[],[]
SC_AXI_2018_01_02.mseed_309000,[],[],[],[]
SC_AXI_2018_01_01.mseed_306000,[],[],[],[]
SC_AXI_2018_01_03.mseed_312000,[],[],[],[]
SC_AXI_2018_01_01.mseed_309000,[],[],[],[]
SC_AXI_2018_01_04.mseed_297000,[],[],[],[]
SC_AXI_2018_01_03.mseed_315000,[],[],[],[]
SC_AXI_2018_01_02.mseed_312000,[],[],[],[]
SC_AXI_2018_01_04.mseed_300000,[],[],[],[]
SC_AXI_2018_01_02.mseed_315000,[],[],[],[]
SC_AXI_2018_01_01.mseed_312000,[],[],[],[]
SC_AXI_2018_01_02.mseed_318000,[],[],[],[]
SC_AXI_2018_01_04.mseed_303000,[],[],[],[]
SC_AXI_2018_01_03.mseed_318000,[],[],[],[]
SC_AXI_2018_01_04.mseed_306000,[],[],[],[]
SC_AXI_2018_01_02.mseed_321000,[],[],[],[]
SC_AXI_2018_01_01.mseed_315000,[],[],[],[]
SC_AXI_2018_01_03.mseed_321000,[],[],[],[]
SC_AXI_2018_01_02.mseed_324000,[],[],[],[]
SC_AXI_2018_01_04.mseed_309000,[],[],[],[]
SC_AXI_2018_01_01.mseed_318000,[],[],[],[]
SC_AXI_2018_01_03.mseed_324000,[],[],[],[]
SC_AXI_2018_01_02.mseed_327000,[],[],[],[]
SC_AXI_2018_01_04.mseed_312000,[],[],[],[]
SC_AXI_2018_01_02.mseed_330000,[],[],[],[]
SC_AXI_2018_01_01.mseed_321000,[],[],[],[]
SC_AXI_2018_01_03.mseed_327000,[],[],[2553],[0.566489]
SC_AXI_2018_01_02.mseed_333000,[],[],[],[]
SC_AXI_2018_01_04.mseed_315000,[],[],[],[]
SC_AXI_2018_01_03.mseed_330000,[],[],[],[]
