fname,E,N,Z
SC_AXI_2018_01_01.mseed,BHE,BHN,BHZ
SC_AXI_2018_01_04.mseed,BHE,BHN,BHZ
SC_AXI_2018_01_02.mseed,BHE,BHN,BHZ
SC_AXI_2018_01_03.mseed,BHE,BHN,BHZ
