fname,itp,tp_prob,its,ts_prob
SC.WCH_20180124224034.mseed_3000,[9],[0.961243],[308],[0.908928]
SC.WCH_20180124224034.mseed_6000,[],[],[],[]
SC.WCH_20180124224034.mseed_9000,[],[],[],[]
SC.WCH_20180124224034.mseed_12000,[1507 2509],[0.971828 0.349877],[1808],[0.904945]
SC.WCH_20180124224034.mseed_15000,[],[],[],[]
SC.WCH_20180924205846.mseed_0,[],[],[],[]
SC.WCH_20180924205846.mseed_3000,[11],[0.756528],[479],[0.79557]
SC.WCH_20180924205846.mseed_6000,[],[],[],[]
SC.WCH_20180924205846.mseed_9000,[],[],[],[]
SC.WCH_20180924205846.mseed_12000,[1515],[0.90302],[1980],[0.786879]
SC.WCH_20180924205846.mseed_15000,[],[],[],[]
SC.YZP_20180110043811.mseed_0,[],[],[],[]
SC.YZP_20180110043811.mseed_3000,[12],[0.858251],[631],[0.359685]
SC.YZP_20180110043811.mseed_6000,[],[],[],[]
SC.YZP_20180110043811.mseed_9000,[],[],[],[]
SC.YZP_20180110043811.mseed_12000,[1499],[0.875346],[2135],[0.323606]
SC.YZP_20180110043811.mseed_15000,[],[],[],[]
SC.YZP_20180106232200.mseed_0,[],[],[],[]
SC.YZP_20180106232200.mseed_3000,[55],[0.415424],[615],[0.432633]
SC.YZP_20180106232200.mseed_6000,[],[],[],[]
SC.YZP_20180106232200.mseed_9000,[],[],[],[]
SC.YZP_20180106232200.mseed_12000,[1504],[0.80497],[2117],[0.610057]
SC.YZP_20180106232200.mseed_15000,[],[],[],[]
SC.YZP_20180712235924.mseed_0,[],[],[],[]
SC.YZP_20180712235924.mseed_3000,[64],[0.643238],[627 679],[0.329839 0.367759]
SC.YZP_20180712235924.mseed_6000,[],[],[],[]
SC.YZP_20180712235924.mseed_9000,[],[],[],[]
SC.YZP_20180712235924.mseed_12000,[1528],[0.706192],[2119 2183],[0.357486 0.382188]
SC.YZP_20180712235924.mseed_15000,[],[],[],[]
SC.GZA_20180304003626.mseed_0,[],[],[],[]
SC.GZA_20180304003626.mseed_3000,[32],[0.68949],[1182],[0.774005]
SC.GZA_20180304003626.mseed_6000,[],[],[135],[0.313723]
SC.GZA_20180304003626.mseed_9000,[],[],[],[]
SC.GZA_20180304003626.mseed_12000,[1511],[0.817372],[2682],[0.759304]
SC.GZA_20180304003626.mseed_15000,[],[],[49],[0.476517]
SC.GZA_20180618123324.mseed_0,[],[],[],[]
SC.GZA_20180618123324.mseed_3000,[9],[0.895653],[378],[0.891663]
SC.GZA_20180618123324.mseed_6000,[],[],[],[]
SC.GZA_20180618123324.mseed_9000,[],[],[],[]
SC.GZA_20180618123324.mseed_12000,[1506],[0.972279],[1878],[0.920657]
SC.GZA_20180618123324.mseed_15000,[],[],[],[]
SC.PWU_20180322230336.mseed_0,[],[],[],[]
SC.PWU_20180322230336.mseed_3000,[],[],[604],[0.886268]
SC.PWU_20180322230336.mseed_6000,[],[],[],[]
SC.PWU_20180322230336.mseed_9000,[],[],[],[]
SC.PWU_20180322230336.mseed_12000,[1506],[0.966724],[2106],[0.885056]
SC.PWU_20180322230336.mseed_15000,[],[],[],[]
SC.PWU_20180408224035.mseed_0,[],[],[],[]
SC.PWU_20180408224035.mseed_3000,[],[],[1563],[0.346154]
SC.PWU_20180408224035.mseed_6000,[],[],[],[]
SC.PWU_20180408224035.mseed_9000,[],[],[],[]
SC.PWU_20180408224035.mseed_12000,[1520],[0.754387],[],[]
SC.PWU_20180408224035.mseed_15000,[455],[0.32477],[105],[0.467093]
SC.JMG_20180114120936.mseed_0,[],[],[],[]
SC.JMG_20180114120936.mseed_3000,[],[],[633],[0.889588]
SC.JMG_20180114120936.mseed_6000,[],[],[],[]
SC.JMG_20180114120936.mseed_9000,[],[],[],[]
SC.JMG_20180114120936.mseed_12000,[1505],[0.93913],[2133],[0.875497]
SC.JMG_20180114120936.mseed_15000,[],[],[],[]
SC.WCH_20180913122500.mseed_0,[],[],[],[]
SC.WCH_20180913122500.mseed_3000,[7],[0.930672],[506],[0.922062]
SC.WCH_20180913122500.mseed_6000,[],[],[],[]
SC.WCH_20180913122500.mseed_9000,[],[],[],[]
SC.WCH_20180913122500.mseed_12000,[1503],[0.975048],[2007],[0.927391]
SC.WCH_20180913122500.mseed_15000,[],[],[],[]
SC.YZP_20180207115125.mseed_0,[],[],[],[]
SC.YZP_20180207115125.mseed_3000,[3],[0.745231],[500],[0.731448]
SC.YZP_20180207115125.mseed_6000,[],[],[],[]
SC.YZP_20180207115125.mseed_9000,[],[],[],[]
SC.YZP_20180207115125.mseed_12000,[1504],[0.973073],[1998],[0.676529]
SC.YZP_20180207115125.mseed_15000,[],[],[],[]
SC.YZP_20180708065057.mseed_0,[],[],[],[]
SC.YZP_20180708065057.mseed_3000,[9],[0.90556],[603],[0.329848]
SC.YZP_20180708065057.mseed_6000,[],[],[],[]
SC.YZP_20180708065057.mseed_9000,[],[],[],[]
SC.YZP_20180708065057.mseed_12000,[1506],[0.919361],[2108],[0.449494]
SC.YZP_20180708065057.mseed_15000,[],[],[],[]
SC.JZG_20180114030422.mseed_0,[],[],[],[]
SC.JZG_20180114030422.mseed_3000,[11],[0.873311],[725],[0.668449]
SC.JZG_20180114030422.mseed_6000,[],[],[],[]
SC.JZG_20180114030422.mseed_9000,[],[],[],[]
SC.JZG_20180114030422.mseed_12000,[1511],[0.952936],[2225],[0.658958]
SC.JZG_20180114030422.mseed_15000,[],[],[],[]
SC.JZG_20181003144153.mseed_0,[],[],[],[]
SC.JZG_20181003144153.mseed_3000,[],[],[596],[0.858059]
SC.JZG_20181003144153.mseed_6000,[],[],[],[]
SC.JZG_20181003144153.mseed_9000,[],[],[],[]
SC.JZG_20181003144153.mseed_12000,[1510],[0.961387],[2097],[0.861871]
SC.JZG_20181003144153.mseed_15000,[],[],[],[]
SC.ZJG_20180420113411.mseed_0,[],[],[],[]
SC.ZJG_20180420113411.mseed_3000,[],[],[553],[0.696733]
SC.ZJG_20180420113411.mseed_6000,[],[],[],[]
SC.ZJG_20180420113411.mseed_9000,[],[],[],[]
SC.ZJG_20180420113411.mseed_12000,[1525],[0.550942],[2052],[0.701656]
SC.ZJG_20180420113411.mseed_15000,[],[],[],[]
