fname,itp,tp_prob,its,ts_prob
SC.PWU_20180418224521.mseed_3000,[],[],[],[]
SC.JMG_20180619013408.mseed_3000,[],[],[],[]
SC.PWU_20180818005242.mseed_3000,[],[],[],[]
SC.PWU_20181021233513.mseed_6000,[],[],[],[]
SC.TQU_20180613033943.mseed_3000,[],[],[],[]
SC.PWU_20180217203656.mseed_3000,[],[],[],[]
SC.ZJG_20180409125954.mseed_6000,[],[],[],[]
SC.PWU_20181021233513.mseed_9000,[],[],[],[]
SC.ZJG_20180409125954.mseed_9000,[],[],[],[]
SC.PWU_20180418224521.mseed_6000,[],[],[],[]
SC.PWU_20180818005242.mseed_6000,[],[],[],[]
SC.YZP_20180627185052.mseed_9000,[],[],[],[]
SC.PWU_20180217203656.mseed_6000,[],[],[],[]
SC.JMG_20180619013408.mseed_6000,[],[],[],[]
SC.TQU_20180613033943.mseed_6000,[],[],[],[]
SC.PWU_20181021233513.mseed_12000,[],[],[],[]
SC.PWU_20180217203656.mseed_9000,[],[],[],[]
SC.ZJG_20180409125954.mseed_12000,[],[],[],[]
SC.YZP_20180627185052.mseed_12000,[],[],[],[]
SC.PWU_20180818005242.mseed_9000,[],[],[],[]
SC.JMG_20180619013408.mseed_9000,[],[],[],[]
SC.TQU_20180613033943.mseed_9000,[],[],[],[]
SC.PWU_20180418224521.mseed_9000,[],[],[],[]
SC.JMG_20180619013408.mseed_12000,[],[],[],[]
SC.ZJG_20180409125954.mseed_15000,[],[],[],[]
SC.PWU_20181021233513.mseed_15000,[],[],[],[]
SC.PWU_20180418224521.mseed_12000,[],[],[],[]
SC.PWU_20180217203656.mseed_12000,[],[],[],[]
SC.YZP_20180627185052.mseed_15000,[],[],[],[]
SC.TQU_20180613033943.mseed_12000,[],[],[],[]
SC.PWU_20180818005242.mseed_12000,[],[],[],[]
SC.JMG_20180619013408.mseed_15000,[],[],[],[]
SC.PWU_20180418224521.mseed_15000,[],[],[],[]
SC.TQU_20180613033943.mseed_15000,[],[],[],[]
SC.PWU_20180818005242.mseed_15000,[],[],[],[]
SC.PWU_20180217203656.mseed_15000,[],[],[],[]
SC.WCH_20181220031631.mseed_0,[],[],[],[]
SC.YZP_20180415224539.mseed_0,[],[],[],[]
SC.JMG_20180913105649.mseed_0,[],[],[],[]
SC.JMG_20180913105649.mseed_3000,[],[],[],[]
SC.YZP_20180415224539.mseed_3000,[],[],[],[]
SC.MDS_20180918172231.mseed_0,[],[],[],[]
SC.WCH_20181220031631.mseed_3000,[],[],[],[]
SC.WCH_20181220031631.mseed_6000,[],[],[],[]
SC.MDS_20180918172231.mseed_3000,[],[],[],[]
SC.PWU_20180502071051.mseed_0,[],[],[],[]
SC.WCH_20180603101131.mseed_0,[],[],[],[]
SC.JMG_20180913105649.mseed_6000,[],[],[],[]
SC.YZP_20180415224539.mseed_6000,[],[],[171],[0.307221]
SC.JMG_20180810143309.mseed_0,[],[],[],[]
SC.AXI_20180408092127.mseed_0,[],[],[],[]
SC.PWU_20180502071051.mseed_3000,[],[],[],[]
SC.JMG_20180913105649.mseed_9000,[],[],[],[]
SC.AXI_20180408092127.mseed_3000,[],[],[],[]
SC.YZP_20180415224539.mseed_9000,[],[],[],[]
SC.WCH_20180603101131.mseed_3000,[],[],[],[]
SC.WCH_20181220031631.mseed_9000,[],[],[],[]
SC.MDS_20180918172231.mseed_6000,[],[],[],[]
SC.JMG_20180810143309.mseed_3000,[],[],[],[]
SC.JMG_20180913105649.mseed_12000,[],[],[],[]
SC.YZP_20180415224539.mseed_12000,[],[],[],[]
SC.MDS_20180918172231.mseed_9000,[],[],[],[]
SC.WCH_20181220031631.mseed_12000,[],[],[],[]
SC.PWU_20180502071051.mseed_6000,[],[],[],[]
SC.AXI_20180408092127.mseed_6000,[],[],[],[]
SC.JMG_20180810143309.mseed_6000,[],[],[],[]
SC.WCH_20180603101131.mseed_6000,[],[],[],[]
SC.MDS_20180918172231.mseed_12000,[],[],[],[]
SC.YZP_20180415224539.mseed_15000,[],[],[],[]
SC.WCH_20180603101131.mseed_9000,[],[],[],[]
SC.AXI_20180408092127.mseed_9000,[],[],[],[]
SC.PWU_20180502071051.mseed_9000,[],[],[],[]
SC.JMG_20180913105649.mseed_15000,[],[],[],[]
SC.WCH_20181220031631.mseed_15000,[],[],[],[]
SC.JMG_20180810143309.mseed_9000,[],[],[],[]
SC.MDS_20180918172231.mseed_15000,[],[],[],[]
SC.PWU_20180502071051.mseed_12000,[],[],[],[]
SC.AXI_20180408092127.mseed_12000,[],[],[],[]
SC.WCH_20180603101131.mseed_12000,[],[],[729],[0.394602]
SC.JZG_20180525050426.mseed_0,[],[],[],[]
SC.PWU_20180810231058.mseed_0,[],[],[],[]
SC.JMG_20180810143309.mseed_12000,[],[],[],[]
SC.TQU_20181001102428.mseed_0,[],[],[],[]
SC.PWU_20180502071051.mseed_15000,[],[],[212],[0.675813]
SC.TQU_20181001102428.mseed_3000,[],[],[],[]
SC.AXI_20180408092127.mseed_15000,[],[],[],[]
SC.PWU_20180810231058.mseed_3000,[],[],[],[]
SC.JMG_20180810143309.mseed_15000,[],[],[],[]
SC.WCH_20180603101131.mseed_15000,[],[],[],[]
SC.JZG_20180112205056.mseed_0,[],[],[],[]
SC.JZG_20180525050426.mseed_3000,[],[],[],[]
SC.JZG_20180525050426.mseed_6000,[],[],[],[]
SC.TQU_20181001102428.mseed_6000,[],[],[],[]
SC.PWU_20180810231058.mseed_6000,[],[],[],[]
SC.JZG_20180113031109.mseed_0,[],[],[],[]
SC.AXI_20180902142646.mseed_0,[],[],[],[]
SC.GZA_20180509231144.mseed_0,[],[],[],[]
SC.JZG_20180112205056.mseed_3000,[],[],[],[]
SC.WCH_20180221202632.mseed_0,[],[],[],[]
SC.JZG_20180525050426.mseed_9000,[],[],[],[]
SC.TQU_20181001102428.mseed_9000,[],[],[],[]
SC.TQU_20181001102428.mseed_12000,[],[],[],[]
SC.JZG_20180113031109.mseed_3000,[],[],[],[]
SC.AXI_20180902142646.mseed_3000,[],[],[],[]
SC.WCH_20180221202632.mseed_3000,[],[],[],[]
SC.TQU_20181001102428.mseed_15000,[],[],[],[]
SC.JZG_20180112205056.mseed_6000,[],[],[],[]
SC.AXI_20180902142646.mseed_6000,[],[],[],[]
SC.JZG_20180113031109.mseed_6000,[],[],[1296],[0.383557]
SC.JZG_20180112205056.mseed_9000,[],[],[],[]
SC.GZA_20180509231144.mseed_3000,[],[],[],[]
SC.WCH_20180221202632.mseed_6000,[],[],[],[]
SC.AXI_20180902142646.mseed_9000,[],[],[],[]
SC.JZG_20180113031109.mseed_9000,[],[],[],[]
SC.JZG_20180525050426.mseed_12000,[],[],[],[]
SC.JZG_20180112205056.mseed_12000,[2859],[0.369965],[],[]
SC.PWU_20180810231058.mseed_9000,[],[],[],[]
SC.GZA_20180509231144.mseed_6000,[],[],[],[]
SC.WCH_20180221202632.mseed_9000,[],[],[],[]
SC.JZG_20181109051729.mseed_0,[],[],[],[]
SC.JZG_20181109051729.mseed_3000,[],[],[],[]
