fname,itp,tp_prob,its,ts_prob
SC.JZG_20180412122920.mseed_6000,[],[],[],[]
SC.WCH_20180126102143.mseed_0,[],[],[],[]
SC.JZG_20180412122920.mseed_9000,[],[],[],[]
SC.WCH_20180126102143.mseed_3000,[11],[0.696804],[452],[0.923113]
SC.JZG_20180412122920.mseed_12000,[1506],[0.934045],[1998],[0.881711]
SC.PWU_20180722015215.mseed_15000,[],[],[],[]
SC.WCH_20180126102143.mseed_6000,[],[],[920],[0.394061]
SC.JZG_20180412122920.mseed_15000,[2781],[0.513522],[2121],[0.491254]
SC.WCH_20180126102143.mseed_9000,[],[],[],[]
SC.WCH_20180126102143.mseed_12000,[1504],[0.898584],[1950],[0.908303]
SC.WCH_20180126102143.mseed_15000,[],[],[290],[0.714743]
SC.TQU_20181112084125.mseed_0,[],[],[],[]
SC.TQU_20181112084125.mseed_3000,[],[],[2163],[0.311304]
SC.TQU_20181112084125.mseed_6000,[],[],[57],[0.596242]
SC.TQU_20181127033257.mseed_0,[],[],[],[]
SC.JZG_20181117204609.mseed_0,[],[],[],[]
SC.JZG_20181117204609.mseed_3000,[21],[0.720308],[1549],[0.521634]
SC.TQU_20181112084125.mseed_9000,[],[],[],[]
SC.JZG_20181117204609.mseed_6000,[],[],[],[]
SC.WCH_20181212073117.mseed_0,[],[],[],[]
SC.GZA_20181120002035.mseed_0,[],[],[],[]
SC.JZG_20181117204609.mseed_9000,[],[],[],[]
SC.WCH_20181212073117.mseed_3000,[55],[0.968966],[323],[0.958732]
SC.WCH_20181212073117.mseed_6000,[],[],[],[]
SC.JZG_20181117204609.mseed_12000,[1504],[0.805806],[],[]
SC.TQU_20181112084125.mseed_12000,[1531],[0.300487],[],[]
SC.TQU_20181127033257.mseed_3000,[20],[0.495045],[1780],[0.519841]
SC.JZG_20181117204609.mseed_15000,[],[],[51],[0.409163]
SC.GZA_20181120002035.mseed_3000,[10],[0.926861],[658],[0.863534]
SC.WCH_20181212073117.mseed_9000,[],[],[],[]
SC.TQU_20180615101629.mseed_0,[],[],[],[]
SC.WCH_20181212073117.mseed_12000,[1556],[0.973063],[1822],[0.958804]
SC.GZA_20181120002035.mseed_6000,[],[],[],[]
SC.WCH_20181212073117.mseed_15000,[],[],[47],[0.602105]
SC.TQU_20180615101629.mseed_3000,[25],[0.584234],[2609],[0.576163]
SC.TQU_20181112084125.mseed_15000,[],[],[675],[0.330146]
SC.TQU_20180615101629.mseed_6000,[2931],[0.607627],[],[]
SC.GZA_20181120002035.mseed_9000,[],[],[],[]
SC.TQU_20181127033257.mseed_6000,[],[],[],[]
SC.PWU_20180822190558.mseed_0,[],[],[],[]
SC.GZA_20181120002035.mseed_12000,[1507],[0.932315],[2160],[0.864775]
SC.TQU_20181127033257.mseed_9000,[],[],[],[]
SC.GZA_20181120002035.mseed_15000,[],[],[],[]
SC.AXI_20181210071409.mseed_0,[],[],[],[]
SC.TQU_20181127033257.mseed_12000,[1536],[0.668268],[],[]
SC.TQU_20180615101629.mseed_9000,[],[],[],[]
SC.PWU_20180822190558.mseed_3000,[7],[0.695249],[917],[0.498428]
SC.TQU_20180615101629.mseed_12000,[1525],[0.767786],[],[]
SC.AXI_20181210071409.mseed_3000,[9],[0.924027],[642],[0.727638]
SC.TQU_20181127033257.mseed_15000,[],[],[281],[0.431982]
SC.TQU_20180615101629.mseed_15000,[],[],[1109],[0.547402]
SC.AXI_20181210071409.mseed_6000,[],[],[],[]
SC.PWU_20180822190558.mseed_6000,[],[],[],[]
SC.AXI_20181210071409.mseed_9000,[],[],[],[]
SC.WCH_20181213233252.mseed_0,[],[],[],[]
SC.JZG_20181027230736.mseed_0,[56],[0.31149],[],[]
SC.PWU_20180822190558.mseed_9000,[],[],[],[]
SC.JZG_20181027230736.mseed_3000,[],[],[470],[0.765124]
